0,0.000,0.000,0.000
1,20.000,0.000,0.000
2,40.000,0.000,0.000
3,60.000,0.000,0.000
4,80.000,0.000,0.000
5,100.000,0.000,20.000
6,120.000,0.000,20.000
7,140.000,0.000,20.000
8,160.000,0.000,20.000
9,180.000,0.000,20.000
10,200.000,0.000,40.000
11,220.000,0.000,40.000
12,240.000,0.000,40.000
13,260.000,0.000,40.000
14,280.000,0.000,40.000
15,300.000,0.000,60.000
16,320.000,0.000,60.000
17,340.000,0.000,60.000
18,360.000,0.000,60.000
19,380.000,0.000,60.000
20,400.000,0.000,80.000
21,420.000,0.000,80.000
22,440.000,0.000,80.000
23,460.000,0.000,80.000
24,480.000,0.000,80.000
25,500.000,0.000,100.000
26,520.000,0.000,100.000
27,540.000,0.000,100.000
28,560.000,0.000,100.000
29,580.000,0.000,100.000
